poll_num,poll_taste_sweet,poll_taste_sour,poll_taste_body,poll_alcohol, pool_nearest ,poll_gender,poll_age,poll_purch,poll_sell,"poll_rpurch
"
107,3,1,4,20,세종대왕어주 약청주,0,25,0,,1
108,3,1,3,20,술샘16,0,20,0,,
109,4,2,4,10,술아 국화주,0,25,1,동백주,1
110,3,2,3,10,추사 블루베리 와인,1,20,0,,0
111,4,0,3,10,꿀샘 16,0,25,1,막걸리,1
112,5,0,4,10,아이엠더문,1,30,0,,1
113,3,1,2,10,허니문,0,20,0,,
114,3,1,1,5,우주멜론미 스파클링 막걸리,1,20,0,,0
115,2,1,3,10,양촌 우렁이쌀 약청주,0,25,0,,
116,4,3,2,10,고도리 청수 와인,0,35,0,,
117,4,4,4,10,별산막걸리,0,35,1,막걸리,1
118,2,2,5,30,세종대왕어주 약청주,0,25,1,안동소주,1
119,5,2,1,10,우주멜론미 스파클링 막걸리,0,30,0,,
120,3,2,2,5,대대포 막걸리,0,25,0,,
121,3,3,3,20,삼양춘 약청주,0,30,1,밤막걸리,1
122,5,5,5,40,경성과하주,1,35,1,참이슬,1
123,2,2,4,40,담솔,0,25,0,없음,0
124,3,1,3,10,추사 블루베리 와인,0,25,1,금정산성막걸리,1
125,3,5,5,20,별바랑,1,30,1,안동소주,1
126,3,2,2,20,맑은내일 우포,1,25,1,"경주 법주, 막걸리 등등",1
127,2,2,2,10,민주 포도 막걸리,1,25,1,,1
128,3,5,2,20,샤토미소 랑 화이트와인,1,30,0,구매경험 없음,
129,4,0,3,20,꿀샘 16,1,30,0,,
130,3,1,3,20,술샘16,1,25,0,,
131,4,1,5,20,맑은 문희주,0,25,0,,0
132,4,3,5,30,경성과하주,0,35,1,"홍주, 이강주",1
133,4,2,2,10,니모메,0,30,1,모주? 도 전통주맞...죠?,1
134,0,0,0,40,화주,0,25,1,화요,1
135,2,0,3,40,이강주,0,20,0,,
136,3,0,3,30,이강주,0,30,1,소주,1
137,3,1,3,30,이강주,1,50,1,진도홍주,0
138,0,0,3,20,모리,0,25,1,화요,1
139,3,3,3,10,고도리 화이트와인 스위트,1,20,1,정확히 기억이 안0,1
140,1,0,4,40,담솔,0,30,0,,1
141,4,2,3,5,세종 알밤주,0,30,0,,0
142,4,1,3,20,술아 순곡주,1,30,1,모주,0
143,3,1,3,30,이강주,0,20,0,,0
144,4,2,0,10,우주멜론미 스파클링 막걸리,0,20,0,,0
145,1,2,4,30,세종대왕어주 약청주,1,20,0,,0
146,3,3,4,5,벗이랑 강황,0,30,1,홍주,1
147,3,2,4,5,감천막걸리,0,30,1,막걸리,0
148,2,1,4,40,담솔,0,25,1,홍주,1
149,3,1,2,10,허니문,1,25,0,,0
150,2,2,3,10,해창 막걸리 9도,0,20,0,,
151,4,3,3,10,만강에 비친 달,0,25,0,,0
152,0,0,0,5,서설,0,25,0,,
153,1,1,1,30,서울의 밤 25%,0,20,0,,0
154,4,3,4,30,경성과하주,0,25,0,,
155,2,2,5,40,담솔,0,25,0,,0
156,5,5,5,40,경성과하주,0,30,0,,
157,2,1,5,30,세종대왕어주 약청주,0,30,1,막걸리,1
158,4,0,0,30,우주멜론미 스파클링 막걸리,0,25,1,유자막걸리,1
159,3,0,3,10,매실원주,1,25,0,,
160,4,1,1,5,우주멜론미 스파클링 막걸리,0,25,0,,0
161,4,2,4,20,한산소곡주,0,20,0,,
162,4,1,2,5,자연담은 복분자막걸리,1,20,0,,
163,2,4,4,10,볼빨간막걸리 10,0,20,0,없음,0
164,4,0,2,5,우주멜론미 스파클링 막걸리,1,25,0,,
165,2,2,3,20,김포특주,0,30,1,샤케,1
166,3,2,3,5,금풍양조,0,20,0,,
167,4,2,3,10,복숭아와인,0,20,0,,0
168,4,0,1,10,우주멜론미 스파클링 막걸리,1,25,0,,
169,3,2,3,5,금풍양조,0,25,0,,
170,4,3,5,20,지란지교,0,30,1,동동주,0
171,5,2,2,10,니모메,1,30,1,이강주,1
172,3,2,4,10,술취한 원숭이,1,30,0,,
173,5,0,5,10,아이엠더문,1,30,1,매실막걸리,1
174,5,0,3,10,원매,0,20,1,무등산 막걸리,1
175,4,1,2,10,니모메,0,30,0,,0
176,3,1,2,20,맑은내일 우포,0,25,1,경주법주,1
177,4,2,3,5,세종 알밤주,1,30,0,,0
178,5,3,3,40,경성과하주,0,20,0,,0
179,2,0,5,30,담솔,0,25,1,오매락,1
180,4,1,3,30,술아 순곡주,0,20,0,,0
181,5,1,3,10,동래아들,1,20,0,,
182,4,1,2,5,자연담은 복분자막걸리,0,25,0,,
183,3,1,3,20,술샘16,0,25,0,,
184,3,1,4,5,감천막걸리,0,25,0,구매 안햇습니다,0
185,1,0,3,10,모리,1,45,1,알밤막걸리,1
186,3,1,4,5,감천막걸리,1,25,0,,
