survey_num,survey_gender,survey_age,survey_exp,survey_drink_type,survey_drink_name,survey_taste_sweet,survey_taste_sour,survey_taste_body,survey_taste_soda,survey_material,survey_alcohole,survey_price
110,1,20,0,,,5,2,1,1,0,0,15000
111,0,30,1,2,기억이 안남,3,2,3,1,0,5,45000
112,0,30,1,2,기억이 안남,3,2,3,1,0,5,45000
113,0,20,1,0,송명섭 막걸리,0,3,4,1,2,5,15000
114,1,30,1,0,"전주 모주, 제주 땅콩막걸리, 느린마을 막걸리",3,2,3,0,2,0,5000
115,0,20,1,3,,3,0,3,0,3,20,45000
116,0,30,1,0,무안0,3,3,3,0,2,5,5000
117,0,25,1,2,리몬첼로,3,4,3,0,0,15,45000
118,0,25,1,2,이강주,5,0,0,0,0,0,5000
119,0,25,1,1,한산소곡주,2,2,3,0,2,15,15000
120,1,40,1,0,장수막걸리,3,3,4,0,2,5,5000
121,1,30,1,0,아무거나 마셔도 좋아요,1,1,0,1,2,5,15000
122,0,20,0,,,0,1,4,1,0,5,15000
123,0,20,1,3,발베니 12년,3,2,4,0,2,40,75000
124,1,40,1,0,장수막걸리 ,3,3,3,0,0,5,5000
125,0,25,0,,,3,2,2,0,0,15,5000
126,0,20,0,,,2,2,3,0,0,20,75000
127,1,25,1,0,유청막걸리,4,2,3,1,0,0,15000
128,1,20,0,,,4,1,3,0,0,0,5000
129,1,25,1,1,,2,2,4,0,1,15,15000
130,0,25,1,0,,5,3,4,0,2,5,5000
131,0,40,1,3,모월 송명섭(막걸리)  등등,0,3,4,0,2,40,75000
132,0,25,0,,,3,0,2,1,0,5,5000
133,0,35,1,0, ,4,2,0,1,0,0,5000
134,1,20,1,2,"화요, 원소주",3,0,3,0,0,20,15000
135,1,20,0,,,4,3,2,0,0,0,5000
136,1,30,0,,,3,2,4,0,2,0,5000
137,0,25,0,2,,3,3,4,1,0,10,15000
138,1,25,1,2,,3,3,4,0,3,30,15000
139,0,25,0,3,화요,0,2,4,0,2,20,15000
140,0,30,1,3,,1,0,2,0,2,15,5000
141,1,25,0,,,4,2,3,0,0,0,15000
142,1,25,1,2,이름이 기억안나요.. 복숭아맛이었어요,4,3,1,1,0,10,15000
143,1,30,0,,,2,2,3,0,2,20,15000
144,0,30,0,,,3,1,3,0,0,15,5000
145,1,35,1,2,특별히 남는 전통주는 없습니다 ,2,2,4,0,0,10,5000
146,1,25,1,2,모주,2,2,2,1,0,5,5000
147,0,40,1,0,유자막걸리,4,2,3,0,0,15,45000
148,0,25,0,3,원소주,1,1,2,1,0,5,5000
149,0,30,0,,,3,1,1,0,0,5,15000
150,0,20,0,,,3,2,4,1,0,0,45000
151,0,25,0,,,5,5,5,0,3,40,100000
152,0,25,1,0,느린마을 막걸리,3,0,1,1,0,15,5000
153,1,30,1,3,추사,4,4,3,0,0,20,15000
154,0,30,1,0,,0,0,1,0,2,15,5000
155,0,20,1,0,모주,2,0,0,1,2,5,5000
156,0,20,0,2,,2,3,3,0,0,30,45000
157,1,25,0,,,2,1,1,1,0,10,5000
158,0,30,0,,,3,2,2,1,0,0,5000
159,0,25,1,3,원소주?,2,2,1,0,0,15,5000
160,1,25,0,,,3,1,3,0,0,15,15000
161,0,20,0,,,4,2,3,0,0,10,15000
162,0,30,1,2,풍정사계 춘,3,2,3,0,0,10,5000
163,1,30,1,3,증류수 원소주 입니다!,2,0,2,0,0,10,5000
164,1,20,1,0,,3,0,2,0,2,15,5000
165,0,25,1,0,비아막걸리,4,1,3,1,2,5,5000
166,1,20,1,3,밤막걸리,4,1,5,1,2,15,15000
167,1,20,0,,,4,2,3,1,0,0,5000
168,0,30,0,,,2,3,3,0,0,10,75000
169,1,25,0,,,3,0,3,1,0,5,15000
170,0,40,1,0,막걸리 ,3,2,2,1,2,5,5000
171,1,25,0,,,3,3,3,1,0,15,15000
172,0,30,1,2,추사,2,3,5,0,2,40,45000
173,0,35,1,3,경도막걸리 ,3,1,2,1,2,10,5000
174,0,25,1,0,땅콩 막거리,4,3,4,0,2,10,15000
175,1,30,1,0,,2,3,4,0,2,20,15000
176,1,20,0,,,3,2,3,1,0,10,15000
177,1,25,1,3,도래하,0,0,3,0,2,15,5000
178,0,30,1,0,기억안남,3,2,2,1,2,5,45000
179,0,25,1,3,화요 53도,2,2,4,0,2,40,45000
180,0,20,0,,,2,3,2,0,0,15,15000
181,0,30,0,,,0,0,0,0,2,10,5000
182,1,20,0,3,,3,0,2,0,0,20,45000
183,0,25,1,,기억이안남,4,2,3,1,0,10,5000
184,1,20,1,2,복분자주,4,3,3,1,0,5,5000
185,0,20,1,0,무등산 막걸리,3,3,3,1,0,5,15000
186,1,25,1,1,일엽편주,4,2,2,0,1,0,45000
187,0,30,1,2,복숭아 와인,4,3,3,0,0,10,45000
