poll_num,poll_taste_sweet,poll_taste_sour,poll_taste_body,poll_alcohol,poll_gender,poll_age,poll_purch,poll_sell,"poll_rpurch
",poll_wish
85,3,2,4,10,남,20 ~ 24,FALSE,,,
86,3,1,2,10,여,25 ~ 29,TRUE,막걸리,TRUE,
87,4,5,4,5,남,25 ~ 29,TRUE,,TRUE,
88,2,0,3,10,여,20 ~ 24,FALSE,,,
89,3,2,3,30,남,20 ~ 24,TRUE,탁주,TRUE,
90,2,1,2,20,남,25 ~ 29,TRUE,복순도기,TRUE,맛있게 만들어주세요
91,0,0,0,20,남,25 ~ 29,FALSE,,FALSE,
92,3,2,3,10,남,20 ~ 24,FALSE,,,
93,5,1,4,10,여,20 ~ 24,FALSE,,FALSE,
94,2,2,2,10,여,20 ~ 24,FALSE,,FALSE,
95,5,5,5,20,남,25 ~ 29,FALSE,,FALSE,
96,2,2,5,20,남,25 ~ 29,FALSE,,FALSE,
97,0,0,5,20,남,25 ~ 29,TRUE,감귤? 전통주,TRUE,
98,3,1,4,30,남,25 ~ 29,FALSE,,FALSE,전통주 너무 비싸요
99,2,2,3,20,여,20 ~ 24,FALSE,,,
100,3,2,4,20,여,20 ~ 24,TRUE,"막걸리,복분자주",TRUE,우리 한국의 자랑인 전통주를 널리 알려주세요 ??
101,2,0,2,30,남,25 ~ 29,FALSE,,,단순히 평점이 아닌 특색에 따른 분류를 원함
102,4,3,4,20,여,30 ~ 34,FALSE,,,작은 용랑도 판매가 가능하고 향과 맛이 구체적이었으면 좋겠어요
103,4,0,0,5,여,20 ~ 24,FALSE,,,
104,1,1,0,20,남,25 ~ 29,FALSE,,,
105,3,2,3,10,남,25 ~ 29,FALSE,,,
106,3,0,2,10,여,20 ~ 24,FALSE,,,
107,3,1,4,20,남,25 ~ 29,FALSE,,TRUE,
108,3,1,3,20,남,20 ~ 24,FALSE,,,
109,4,2,4,10,남,25 ~ 29,TRUE,동백주,TRUE,
110,3,2,3,10,여,20 ~ 24,FALSE,,FALSE,자세한 설명
111,4,0,3,10,남,25 ~ 29,TRUE,막걸리,TRUE,
112,5,0,4,10,여,30 ~ 34,FALSE,,TRUE,
113,3,1,2,10,남,20 ~ 24,FALSE,,,많은 홍보
114,3,1,1,5,여,20 ~ 24,FALSE,,FALSE,
115,2,1,3,10,남,25 ~ 29,FALSE,,,
116,4,3,2,10,남,35 ~ 39,FALSE,,,고생이 많으십니다. 우리나라의 향과 맛이 살아있는 훌륭한 전통주를 만들어주시기 바랍니다.
117,4,4,4,10,남,35 ~ 39,TRUE,막걸리,TRUE,맛있는 전통주 만들어주세요!! :)
118,2,2,5,30,남,25 ~ 29,TRUE,안동소주,TRUE,
119,5,2,1,10,남,30 ~ 34,FALSE,,,각각의 전통주와 어울리는 음식도 추천해주면 좋을거같아요
120,3,2,2,5,남,25 ~ 29,FALSE,,,"전통주에 잘 모르는 사람한테도 좋은 것들을 추천해줄 수 있으면 좋겠네요!
"
121,3,3,3,20,남,30 ~ 34,TRUE,밤막걸리,TRUE,전통주와 어울리는 음식
122,5,5,5,40이상,여,35 ~ 39,TRUE,참이슬,TRUE,무료이벤트
123,2,2,4,40이상,남,25 ~ 29,FALSE,없음,FALSE,전통주 랭킹
124,3,1,3,10,남,25 ~ 29,TRUE,금정산성막걸리,TRUE,"전통주 입력 시, 지역별로 판매하는 곳을 보여준다면 좋을 거 같아요"
