survey_num,survey_gender,survey_age,survey_exp,survey_drink_type,survey_drink_name,survey_taste_sweet,survey_taste_sour,survey_taste_body,survey_taste_soda,survey_material,survey_alcohole,survey_price,nearest_drinks
64,1,20,1,0,병영설성 막걸리,3,2,3,0,4,15,5000,['김포특주']
65,0,25,1,3,원소주,3,2,4,1,4,10,15000,['벗이랑 버찌 홍국']
66,1,30,1,3,,2,2,3,0,2,20,15000,['양촌 우렁이쌀 약청주']
67,1,25,1,0,모주,4,2,3,0,2,0,15000,['마크홀리 오리지널 6.0']
68,0,20,1,1,마루,3,4,5,0,2,20,100000,['샤토미소 아이스와인']
69,0,25,1,2,,1,0,1,1,1,30,15000,['서울의 밤 25%']
70,1,20,0,,,4,0,1,0,0,10,5000,['우주멜론미 스파클링 막걸리']
71,0,25,1,2,,4,0,4,1,0,5,5000,['동래아들']
72,0,25,1,0,,2,2,4,1,2,10,15000,['오산막걸리']
73,1,35,1,0,홍주,3,3,4,1,4,40,75000,['동짓달 기나긴 밤']
74,0,20,1,3,"안동소주, 느린마을 막걸리",3,2,3,0,2,40,15000,['술아 순곡주']
75,0,35,1,3,,2,1,1,0,1,20,15000,['서설']
76,0,30,0,,,3,2,3,1,2,10,15000,['추사 블루베리 와인']
77,0,30,0,,,4,1,4,1,0,5,5000,['동래아들']
78,0,35,0,,,1,1,4,1,0,10,5000,['오산막걸리']
79,1,20,1,0,복순도가,3,3,4,1,0,10,15000,['벗이랑 강황']
80,0,25,1,2,,4,2,3,0,0,10,45000,['술아 연화주']
81,0,25,1,2,,4,3,2,1,0,10,15000,['매화깊은밤']
82,0,30,1,3,,3,2,2,0,2,10,15000,['맑은내일 우포']
83,0,25,0,,,3,3,2,0,0,15,15000,['사과와인']
84,0,30,1,1,추성주,3,2,3,0,1,5,15000,['하얀연꽃 백련막걸리']
85,0,25,1,0,제주막걸리,3,3,3,1,2,15,45000,['시나브로 청수 화이트']
86,0,25,1,3,원소주,3,2,4,0,2,15,5000,['벗이랑 버찌 홍국']
87,1,20,0,,,4,0,3,0,0,10,15000,['꿀샘 16']
88,1,25,1,0,,5,1,3,1,2,10,5000,['동래아들']
89,0,30,1,2,복분자주,3,2,3,0,0,15,15000,['오메기술']
90,1,25,0,,,4,2,3,1,1,5,15000,['담은']
91,1,20,0,,,3,0,1,1,0,5,15000,['우주멜론미 스파클링 막걸리']
92,1,20,1,1,오미자주,3,1,3,0,0,15,45000,['금풍양조']
93,0,20,1,2,진도홍주,3,1,4,0,0,20,45000,['세종대왕어주 약청주']
94,0,20,1,3,원소주,3,1,3,0,0,15,5000,['김포특주']
95,1,20,1,2,,4,0,3,1,0,20,15000,['꿀샘 16']
