survey_num,survey_gender,survey_age,survey_exp,survey_drink_type,survey_drink_name,survey_taste_sweet,survey_taste_sour,survey_taste_body,survey_taste_soda,survey_material,survey_alcohole,survey_price,nearest_drinks
340,0,25,1,0,,2,2,2,0,0,0,5000,['참주가 솔 막걸리']
341,1,30,1,0,느린마을 생막걸리,4,2,1,1,0,0,5000,['우주멜론미 스파클링 막걸리']
342,1,20,1,3,청하,3,3,4,1,0,15,15000,['벗이랑 강황']
343,0,25,1,0,무등산막걸리,3,2,4,0,2,10,5000,['붉은 원숭이']
344,0,30,0,,,1,1,1,0,2,30,45000,['토끼 소주(화이트)']
345,1,20,0,,,2,1,3,0,2,15,15000,['양촌 우렁이쌀 약청주']
346,0,25,0,,,2,2,3,0,2,15,45000,['금풍양조']
347,1,25,1,0,,3,2,4,1,2,5,5000,['감천막걸리']
348,1,20,0,,,4,2,1,1,0,0,5000,['우주멜론미 스파클링 막걸리']
349,1,20,1,3,원소주,3,1,3,0,0,15,15000,['양촌 우렁이쌀 약청주']
350,1,30,1,2,지역 특산주,1,3,3,0,0,10,15000,['그리움']
351,0,30,0,,,0,0,0,1,1,0,5000,['서설']
352,1,30,1,0,불로 막걸리,0,2,4,0,0,10,15000,['그리움']
353,1,25,0,2,복분자주,3,2,4,1,0,15,5000,['벗이랑 버찌 홍국']
354,0,25,0,,,3,2,2,1,0,5,5000,['대대포 막걸리']
355,1,20,1,2,기억이 앙나요,3,0,2,1,0,30,45000,['오매락']
356,0,35,1,0,막걸리!(이름모름),3,2,3,0,2,10,5000,['하얀연꽃 백련막걸리']
357,0,25,0,,,4,2,4,0,0,5,15000,['술아 국화주']
358,0,20,1,2,,3,2,4,0,0,20,15000,['벗이랑 버찌 홍국']
359,1,30,1,0,장수막걸리,3,0,3,1,2,5,5000,['매실원주']
360,1,30,0,,,4,2,3,1,2,20,15000,['술아 순곡주']
361,0,30,1,,,3,3,4,1,3,15,100000,['시나브로 청수 화이트']
362,1,40,1,2,원소주,5,5,5,1,2,40,100000,['샤토미소 아이스와인']
363,0,20,1,2,,3,3,2,0,0,0,5000,['애피소드 애플']
