이름,종류,도수,유통기한,보관방법,추천음식,단맛,여운,바디,씁쓸,산미,탄산,탄닌,가격,,,,,,,,
금풍양조,탁주,6.9,제조일로부터 30일,냉장 보관,"메밀 전병, 도토리묵 무침, 두부김치",3,0,3,1,2,0,0,30000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/4fpe-1652434954239-1.jpg,,,,,,,
선호 생막걸리,탁주,6,제조일로부터 20일,냉장 보관,"두부구이, 나쵸, 해물 파전",2,0,1,2,3,4,0,2125,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/jifZ-1657597677794-00.jpg,,,,,,,
김포특주,살균약주,15,제조일로부터 2년,직사광선을 피해 서늘한 곳에 보관,"간장 게장, 감자탕, 시금치 무침",3,0,3,4,2,0,0,3600,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/dCC0-1657597631019-00.jpg,,,,,,,
김포 막걸리,탁주,6,제조일로부터 20일,냉장 보관,"두부구이, 나쵸, 해물 파전",2,0,1,2,3,4,0,2125,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/jifZ-1657597677794-00.jpg,,,,,,,
화주,증류식소주,40,유통기한 없음,상온 보관 가능,"굴비, 곱창전골, 홍어 삼합",0,3,2,0,0,0,0,64000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/XpFS-1662101466971-0.jpg,,,,,,,
송이주,살균약주,13,제조일로부터 3년,상온 보관 가능,"두부구이, 광어회, 등심 스테이크",2,0,3,1,4,0,0,15000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/2TRY-1654855378047-thumb.jpg,,,,,,,
능이주,살균약주,13,제조일로부터 3년,직사광선을 피해 서늘한 곳에 보관,"막창, 시래기 무침, 족발",1,0,3,2,4,0,0,13500,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/zHVf-1654855732966-thumb.jpg,,,,,,,
별,탁주,15,제조일로부터 30일,냉장 보관,"오징어 초무침, 주꾸미 볶음, 양념 치킨",4,0,4,1,4,0,0,,,,,,,,,
바람,일반증류주,40,유통기한 없음,상온 보관 가능,"삼겹살, 곱창, 고등어 회",0,3,3,0,0,0,0,,,,,,,,,
시,3일 이내 배송,,,,,,,,,,,,,,,,,,,,
담진주,증류식소주,25,유통기한 없음,냉장 보관,"문어 숙회, 참소라, 봉골레 파스타",0,2,2,0,0,0,0,,,,,,,,,
노미,탁주,10,제조일로부터 150일,냉장 보관,"돼지갈비 찜, 오코노미야끼, 닭꼬치",1,0,4,3,3,0,0,,,,,,,,,
달홀진주25,증류식소주,25,유통기한 없음,냉장 보관,"문어 숙회, 참소라, 봉골레 파스타",0,2,2,0,0,0,0,13500,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/GnUs-1687311482122-%7F%7F%7F.jpg,,,,,,,
달홀진주40,증류식소주,40,유통기한 없음,상온 보관 가능,"골뱅이 무침, 오일 파스타, 감바스",0,4,4,0,0,0,0,19500,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/n4jH-1642728692094-1.jpg,,,,,,,
오롯이 복숭아,과실주,9,유통기한 없음,냉장 보관,"과일치즈, 애플 파이, 크로아상",2,0,2,0,3,2,0,15000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/eSpM-1655441226949-thumb.jpg,,,,,,,
우주멜론미 스파클링 막걸리,탁주,5,제조일로부터 90일,냉장 보관,"과일 샐러드, 카나페, 애플 파이",4,0,1,1,1,4,0,6000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/62UN-1668150211070-0.jpg,,,,,,,
시향가,3일 이내 배송,,,,,,,,,,,,,,,,,,,,
하타,청주,16,제조일로부터 180일,냉장 보관,"오뎅탕, 고등어구이, 생선회",2,0,2,4,2,0,0,20000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/90HB-1661128019239-0.jpg,,,,,,,
겨울소주45(25도 추가할수 있음),증류식소주,45,유통기한 없음,상온 보관 가능,"버섯 전골, 삼계탕, 갈비찜",0,5,4,0,0,0,0,25000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/K9wG-1672192974489-45-4.jpg,,,,,,,
오산막걸리,탁주,6,제조일로부터 30일,냉장 보관,"김치전, 계란말이, 견과류",2,0,4,2,2,0,0,4000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/HmCf-1656438760455-0.jpg,,,,,,,
여유25,증류식소주,25,유통기한 없음,냉장 보관,"잡채, 육전, 두부부침",0,3,3,0,0,0,0,13500,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/TiXY-1683182786282-thumbnail.jpg,,,,,,,
여유19,증류식소주,19,유통기한 없음,상온 보관 가능,"소 불고기, 제육 볶음, 콩나물 무침",0,2,2,0,0,0,0,11200,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/ayGA-1658114266997-1.jpg,,,,,,,
감천막걸리,탁주,6,제조일로부터 60일,냉장 보관,"해물 라면, 돼지고기 김치찜, 국물 떡볶이",3,0,4,1,2,0,0,7000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/e4Gn-1675411535686-1.jpg,,,,,,,
선비 진,일반증류주,48,유통기한 없음,상온 보관 가능,"과일 샐러드, 카프레제, 문어 숙회",0,5,4,0,0,0,0,40000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/wreZ-1674198355943-1.jpg,,,,,,,
