이름,종류,도수,유통기한,보관방법,추천음식,단맛,여운,바디,씁쓸,산미,탄산,탄닌,가격,,,,,,,,
벗이랑 강황,탁주,12,제조일로부터 90일,냉장 보관,"바지락 칼국수, 조개찜, 봉골레 파스타",3,0,4,3,3,0,0,12000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/oPB5-1676620390941-%E1%84%87%E1%85%A5%E1%86%BA%E1%84%8B%E1%85%B5%E1%84%85%E1%85%A1%E1%86%BC+%E1%84%80%E1%85%A1%E1%86%BC%E1%84%92%E1%85%AA%E1%86%BC.jpg,,,,,,,
벗이랑 버찌 홍국,탁주,12,제조일로부터 90일,냉장 보관,"육전, 고추장 삼겹살, 양념 장어구이",3,0,4,3,2,0,0,12000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/wU9T-1676015039130-redtakju+%283%29.jpg,,,,,,,
솔송주,리큐르,40,유통기한 없음,상온 보관 가능,"두부전골, 돼지갈비 찜, 대구지리탕",1,4,4,0,0,0,0,9000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/Tt0h-1653875726525-SOL_THUMB.jpg,,,,,,,
녹파주,살균약주,15,제조일로부터 1년,직사광선을 피해 서늘한 곳에 보관,"연잎밥, 쑥전, 문어 숙회",2,0,2,3,2,0,0,10000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/OOk8-1618994341750-%EB%85%B9%ED%8C%8C%EC%A3%BC.jpg,,,,,,,
담솔,리큐르,40,유통기한 없음,상온 보관 가능,"두부전골, 돼지갈비 찜, 대구지리탕",1,4,4,0,0,0,0,22000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/SWRH-1653554903762-DAM_THUMB.jpg,,,,,,,
송로주,일반증류주,40,유통기한 없음,상온 보관 가능,"고등어구이, 참치회, 과메기",0,5,4,0,0,0,0,24000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/riDR-1676538434698-thumb.jpg,,,,,,,
산머루 크라테 드라이,과실주,11.5,유통기한 없음,상온 보관 가능,"소고기 안심, 닭 안심 스테이크, 구운 버섯",2,0,3,0,4,0,3,69000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/e5V5-1659682544646-dry_thumb.jpg,,,,,,,
크라테 자두와인,과실주,8.5,유통기한 없음,냉장 보관,"과일치즈, 삼겹살, 소고기 등심구이",3,0,3,0,4,0,3,22500,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/7mGp-1645437993412-%ED%81%AC%EB%9D%BC%ED%85%8C%20%EC%9E%90%EB%91%90%20%EC%99%80%EC%9D%B8-3%20%281%29.jpg,,,,,,,
크라테 미디엄드라이,과실주,11.5,유통기한 없음,냉장 보관,"크림 파스타, 베이컨, 조개구이",2,0,3,0,3,0,3,22000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/kyqr-1658110037332-0.jpg,,,,,,,
크라테 화이트스위트,과실주,11.5,유통기한 없음,상온 보관 가능,"치즈, 고르곤졸라 피자, 카프레제",4,0,3,0,3,0,0,22000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/7TKJ-1657598002156-00.jpg,,,,,,,
그리움,살균약주,14,제조일로부터 2년,상온 보관 가능,"산적 꼬치, 소고기 국밥, 조기구이",1,0,3,4,3,0,0,20000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/hs2k-1623070648101-%EA%B7%B8%EB%A6%AC%EC%9B%80-4.jpg,,,,,,,
꿀샘 16,리큐르,16,유통기한 없음,상온 보관 가능,"고르곤졸라 피자, 브루스케타, 떡꼬치",4,2,3,0,0,0,0,12000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/Yzps-1653552795046-SAM_THUMB1.jpg,,,,,,,
술샘19,리큐르,19,유통기한 없음,상온 보관 가능,"고등어 회, 크림소스 연어 스테이크, 장어구이",2,3,3,0,0,0,0,12000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/7tBC-1621257913254-%EC%88%A0%EC%83%98%2019.jpg,,,,,,,
술샘16,리큐르,16,유통기한 없음,상온 보관 가능,"막국수, 과일치즈, 연어샐러드",3,2,3,0,0,0,0,12000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/4vBj-1651137203578-1.jpg,,,,,,,
미르,증류식소주,25,유통기한 없음,상온 보관 가능,"조개탕, 삼겹살, 돼지껍데기",0,3,3,0,0,0,0,18000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/azh7-1626522263081-%EB%AF%B8%EB%A5%B425-5.jpg,,,,,,,
감사,약주,14,제조일로부터 90일,냉장 보관,"두부구이, 버섯 전골, 육회",4,0,2,3,3,0,0,17000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/HnDN-1623070602561-%EA%B0%90%EC%82%AC-5.jpg,,,,,,,
붉은 원숭이,살균탁주,10.8,제조일로부터 1년,상온 보관 가능,"견과류, 치즈 케이크, 크래커",3,0,4,2,2,0,0,9000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/G43H-1672194788288-153+%281%29.jpg,,,,,,,
술취한 원숭이,탁주,10.8,제조일로부터 30일,냉장 보관,"떡갈비, 불고기, 양념 치킨",3,0,4,2,2,0,0,9000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/Gt8e-1623070755884-%EC%88%A0%EC%B7%A8%ED%95%9C%EC%9B%90%EC%88%AD%EC%9D%B4-5.jpg,,,,,,,
서설,청주,13,유통기한 없음,상온 보관 가능,"광어회, 어묵전골, 나가사키 짬뽕",2,0,1,2,1,0,0,15000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/Ory7-1643382476623-1.jpg,,,,,,,
복단지,약주,14,제조일로부터 90일,냉장 보관,"제육 볶음, 돼지갈비 찜, 장어구이",3,0,3,1,4,0,0,20000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/FBZt-1642729015810-2.jpg,,,,,,,
경성과하주,약주,20,제조일로부터 180일,냉장 보관,"새우튀김, 갈비찜, 곶감치즈말이",5,0,4,3,3,0,0,30000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/UmUF-1659320505466-0.jpg,,,,,,,
술아 순곡주,약주,20,제조일로부터 180일,냉장 보관,"돼지갈비 찜, 참치회, 어묵전골",4,0,3,1,2,0,0,21000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/3zHB-1659320574703-0.jpg,,,,,,,
술아 국화주,약주,15,제조일로부터 180일,냉장 보관,"약과, 산적 꼬치, 돼지고기 김치찜",4,0,4,2,2,0,0,21000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/3zHB-1659320574703-0.jpg,,,,,,,
술아 연화주,약주,15,제조일로부터 180일,냉장 보관,"약과, 산적 꼬치, 돼지고기 김치찜",4,0,3,1,2,0,0,20000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/1k1g-1659320636748-0.jpg,,,,,,,
술아 매화주,약주,15,제조일로부터 180일,냉장 보관,"약과, 산적 꼬치, 돼지고기 김치찜",4,0,4,2,4,0,0,20000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/D1LH-1659320729162-0.jpg,,,,,,,
필,탁주,9,제조일로부터 30일,냉장 보관,"마카롱, 스테이크, 초콜릿",3,0,5,2,4,0,0,,,,,,,,,
미상25,일반증류주,25,유통기한 없음,상온 보관 가능,"삼겹살, 문어 숙회, 해삼",0,3,3,0,0,0,,13000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/gfF8-1674723887713-misang+%281%29.jpg,,,,,,,
말이야 막걸리야,탁주,6,제조일로부터 45일,냉장 보관,"소시지, 어묵전골, 라면",2,0,2,1,1,2,0,50000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/2ART-1679645162604-1.jpg,,,,,,,
시향가 미니캔막걸리,3일 이내 배송,,,,,,,,,,,,20000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/piUC-1679893845040-can.jpg,,,,,,,
백련 맑은술,약주,12,제조일로부터 90일,냉장 보관,"떡갈비, 된장찌개, 누룽지탕",2,0,3,3,4,0,0,22000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/fD7o-1649407393332-1.jpg,,,,,,,
하얀연꽃 백련막걸리,살균탁주,7,제조일로부터 1년,상온 보관 가능,"순대 볶음, 감자전, 갈비찜",3,0,3,1,2,0,,4500,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/AKFJ-1631681155244-%EB%B0%B1%EB%A0%A8+%EB%AF%B8%EC%8A%A4%ED%8B%B0.jpg,,,,,,,
허니문,기타주류,10,유통기한 없음,상온 보관 가능,"딸기, 약과, 마카롱",3,0,2,0,2,0,1,35000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/rSJ3-1656438910781-0.jpg,,,,,,,
허니비,기타주류,8,유통기한 없음,상온 보관 가능,"녹두전, 잡채, 떡국",4,0,2,0,2,0,1,29000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/GQg0-1656438859616-0.jpg,,,,,,,
장수 오미자주,과실주,16.5,유통기한 없음,상온 보관 가능,"돼지갈비 찜, 간장 불고기, 치킨 샐러드",4,0,2,0,4,0,2,5900,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/24PV-1644573217144-1jpg.jpg,,,,,,,
이화주,탁주,9,제조일로부터 30일,냉장 보관,"마카롱, 스테이크, 초콜릿",3,0,5,2,4,0,0,,,,,,,,,
별산막걸리,탁주,6.5,제조일로부터 30일,냉장 보관,"오징어 초무침, 주꾸미 볶음, 양념 치킨",4,0,4,1,4,0,0,33000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/Mxhx-1676536961100-thumb.jpg,,,,,,,
별산오디 스파클링 막걸리,탁주,6,제조일로부터 30일,냉장 보관,"블루베리 파이, 롤 케이크, 초콜릿 머핀",3,0,2,2,2,4,0,13000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/QNt8-1676548528391-thumb.jpg,,,,,,,
양지백주,탁주,15,제조일로부터 60일,냉장 보관,"닭볶음탕, 고추장 찌개, 콩나물 무침",3,0,4,2,4,0,0,20000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/2BrE-1639125133588-%EC%96%91%EC%A7%80%EB%B0%B1%EC%A3%BC.jpg,,,,,,,
모든날에,약주,15,제조일로부터 90일,냉장 보관,"간장 게장, 고등어구이, 찜닭",2,0,2,4,4,0,0,28000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/Uvut-1639124391341-%EB%AA%A8%EB%93%A0%EB%82%A0%EC%97%90.jpg,,,,,,,
아치23,일반증류주,23,유통기한 없음,상온 보관 가능,"감자탕, 스테이크, 양꼬치",0,3,3,0,0,0,0,12000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/IBvH-1669082685835-thumb.jpg,,,,,,,
양촌 우렁이쌀 청주,청주,14,유통기한 없음,직사광선을 피해 서늘한 곳에 보관,"수육, 매운탕, 순대",2,0,3,2,1,0,0,16000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/wHXM-1654568854786-thumb.jpg,,,,,,,
마크홀리 오리지널 6.0,탁주,6,제조일로부터 60일,냉장 보관,"주꾸미 볶음, 멜론 프로슈토, 떡볶이",4,0,3,1,2,0,0,7900,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/M6gR-1659058252071-1.jpg,,,,,,,
초선의 꿈,과실주,12,유통기한 없음,상온 보관 가능,"리코타치즈, 가리비 치즈 구이, 요거트",3,0,2,0,4,0,2,20000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/nunu-1635905019728-%EC%B4%88%EC%84%A0%EC%9D%98%20%EA%BF%88%20%EB%A1%9C%EC%A0%9C%20%EC%8A%A4%EC%9C%84%ED%8A%B8_%EC%9E%AC%EC%B4%AC%EC%98%81.jpg,,,,,,,
여포의 꿈 (화이트),과실주,12,유통기한 없음,상온 보관 가능,"떡갈비, 연어 스테이크, 치킨너겟",3,0,3,0,4,0,0,25000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/2iNg-1635732953983-ypg0.jpg,,,,,,,
나 와인,과실주,12,유통기한 없음,상온 보관 가능,"연어 스테이크, 월남쌈, 오징어 튀김",3,0,3,0,4,0,2,,,,,,,,,
오가피와인,과실주,12,유통기한 없음,냉장 보관,"과일치즈, 제육 볶음, 육회",4,0,3,0,3,0,2,23000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/zKGl-1659320991112-0.jpg,,,,,,,
추사40,일반증류주,40,유통기한 없음,상온 보관 가능,"육포, 견과류, 크래커",0,4,4,0,0,0,0,30000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/Pmvo-1654844288132-THUMB.jpg,,,,,,,
추사 블루베리 와인,과실주,11,유통기한 없음,상온 보관 가능,"피칸 파이, 까르보나라, 블루베리 파이",3,0,3,0,2,0,1,22000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/9FhJ-1655865887419-thumb.jpg,,,,,,,
추사 애플와인,과실주,12,유통기한 없음,상온 보관 가능,"육회, 불고기, 찜닭",4,0,3,0,3,0,1,22000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/MDA5-1655865960640-thumb.jpg,,,,,,,
추사백25,일반증류주,25,유통기한 없음,상온 보관 가능,"샤브샤브, 보쌈, 양꼬치",0,3,3,0,0,0,0,13000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/Lgxu-1629700407692-%EC%B6%94%EC%82%AC%EB%B0%B1-1.jpg,,,,,,,
만강에 비친 달,탁주,10,제조일로부터 60일,냉장 보관,"오리 고기, 불고기, 찹스테이크",4,0,3,2,3,0,0,16000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/rJIp-1666856301903-thumb.jpg,,,,,,,
예술주조 `무작`,증류식소주,53,유통기한 없음,상온 보관 가능,"곱창전골, 참치회, 대구지리탕",0,5,5,0,0,0,0,100000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/zbwb-1672193512011-P126647.jpg,,,,,,,
동짓달 기나긴 밤,약주,16,제조일로부터 60일,냉장 보관,"닭갈비, 장어구이, 등심 스테이크",3,0,4,4,3,0,0,40000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/uFD8-1666856443246-thumb.jpg,,,,,,,
동몽,약주,17,제조일로부터 60일,냉장 보관,"연어 스테이크, 오리 구이, 두부부침",3,0,4,3,4,0,0,34000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/C1O8-1666856217389-thumb.jpg,,,,,,,
배꽃 필 무렵,탁주,9,제조일로부터 30일,냉장 보관,"마카롱, 스테이크, 초콜릿",3,0,5,2,4,0,0,16666,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/KFT7-1622625975208-%EB%B0%B0%EA%BD%83%ED%95%84%EB%AC%B4%EB%A0%B5-%EC%9E%A3%EC%9E%8E.jpg,,,,,,,
문경바람 오크,일반증류주,40,유통기한 없음,상온 보관 가능,"육포, 견과류, 초콜릿",0,4,4,0,0,0,0,30000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/yJy2-1641378321723-mgbr%20o40%200.jpg,,,,,,,
오미로제 연,과실주,8,유통기한 없음,직사광선을 피해 서늘한 곳에 보관,"새우 오일 파스타, 연어샐러드, 육전",1,0,3,0,4,3,1,50000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/5YHz-1651137039043-1.jpg,,,,,,,
오미로제 프리미어와인,과실주,12,유통기한 없음,직사광선을 피해 서늘한 곳에 보관,"버섯구이, 소고기 등심구이, 더덕구이",2,0,2,0,4,0,4,39000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/vR6x-1648539287564-%EC%98%A4%EB%AF%B8%EB%A1%9C%EC%A0%9C%20%ED%94%84%EB%A6%AC%EB%AF%B8%EC%96%B4%20%EC%99%80%EC%9D%B8.jpg,,,,,,,
혼,과실주,12,유통기한 없음,직사광선을 피해 서늘한 곳에 보관,"과일 샐러드, 밀푀유나베, 생선회",3,0,3,0,4,0,0,,,,,,,,,
독산 53,증류식소주,53,유통기한 없음,상온 보관 가능,"육포, 연포탕, 흰살생선회",0,4,4,0,0,0,0,35000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/lN4D-1625031208274-%EB%8F%85%EC%82%B053-5.jpg,,,,,,,
하얀까마귀,탁주,8,제조일로부터 30일,냉장 보관,"찜닭, 돈까스, 콘치즈",4,0,4,2,3,0,0,10000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/DPRL-1667135086777-white.jpg,,,,,,,
독산 30,증류식소주,30,유통기한 없음,상온 보관 가능,"육포, 연포탕, 흰살생선회",0,3,3,0,0,0,0,30000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/Hlhz-1625031092375-%EB%8F%85%EC%82%B030-4.jpg,,,,,,,
마주 소곡주,약주,16,제조일로부터 90일,냉장 보관,"버섯 전골, 쑥전, 미나리 삼겹살",3,0,3,3,4,0,0,21000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/5JmB-1650013818045-1.jpg,,,,,,,
신선주,약주,16,제조일로부터 1년,냉장 보관,"도토리묵 무침, 오징어 초무침, 냉채 족발",2,0,3,4,4,0,0,30000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/ZzVY-1645783037319-%EC%8B%A0%EC%84%A0%EC%A3%BC%20%EC%95%BD%EC%A3%BC.jpg,,,,,,,
맑은내일 우포,살균약주,12,제조일로부터 2년,상온 보관 가능,"양념 치킨, 간장 불고기, 고구마 맛탕",3,0,2,2,2,0,0,10000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/prHG-1673254742321-THUMBV-06.png,,,,,,,
맑은내일 운암1945,살균약주,12,제조일로부터 2년,상온 보관 가능,"소시지, 해물 파전, 생선회",2,0,4,2,4,0,0,33000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/jNCo-1673254724778-THUMBV-05.png,,,,,,,
원소주,증류식소주,41,유통기한 없음,상온 보관 가능,"소갈비 찜, 매운탕, 딱새우 회",0,4,4,0,0,0,0,,,,,,,,,
자두와인,과실주,11.5,유통기한 없음,직사광선을 피해 서늘한 곳에 보관,"크림 파스타, 탕수육, 불고기",3,0,4,0,4,0,0,25000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/WL2w-1620617185155-%EA%B3%A0%EB%8F%84%EB%A6%AC+%EC%9E%90%EB%91%90.jpg,,,,,,,
세종대왕어주 탁주,탁주,13,제조일로부터 60일,냉장 보관,"두부구이, 버섯 전골, 오뎅탕",3,0,3,3,2,0,0,18590,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/K8OH-1623071019146-%EC%84%B8%EC%A2%85%EB%8C%80%EC%99%95%EC%96%B4%EC%A3%BC%ED%83%81%EC%A3%BC-6.jpg,,,,,,,
세종대왕어주 약주,약주,15,제조일로부터 90일,냉장 보관,"조개찜, 호박전, 흰살생선회",2,0,4,2,1,0,0,33000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/tsxw-1623071059946-%EC%84%B8%EC%A2%85%EB%8C%80%EC%99%95%EC%96%B4%EC%A3%BC%EC%95%BD%EC%A3%BC-4.jpg,,,,,,,
이강주,리큐르,25,유통기한 없음,상온 보관 가능,"떡갈비, 육전, 데리야끼 치킨",2,3,3,0,0,0,0,13000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/8gOC-1654847918174-1.jpg,,,,,,,
오디여라,일반증류주,25,유통기한 없음,상온 보관 가능,"크림소스 연어 스테이크, 양갈비 구이, 콘치즈",0,3,3,0,0,0,0,20000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/ZaWs-1656035499740-1.jpg,,,,,,,
아리아리,일반증류주,40,유통기한 없음,상온 보관 가능,"과일 샐러드, 월남쌈, 냉채 족발",0,3,3,0,0,0,0,53000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/Fx06-1657587862607-1%20%282%29.jpg,,,,,,,
문경바람 백자 25,일반증류주,25,유통기한 없음,상온 보관 가능,"과일 샐러드, 리코타치즈, 견과류",0,3,2,0,0,0,0,16500,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/ec5p-1641374336428-mgbr%20b25%200.jpg,,,,,,,
문경바람 백자 40,일반증류주,40,유통기한 없음,상온 보관 가능,"삼겹살, 곱창, 고등어 회",0,3,3,0,0,0,0,25500,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/QmBw-1641378222746-mgbr%20b40%200.jpg,,,,,,,
동래아들,탁주,6,제조일로부터 45일,냉장 보관,"닭볶음탕, 아귀찜, 떡볶이",4,0,3,1,1,0,0,4000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/uJCh-1649405848643-1.jpg,,,,,,,
오메기 맑은술,약주,16,제조일로부터 180일,냉장 보관,"갈치구이, 딱새우 회, 오징어 숙회",3,0,3,2,4,0,0,30000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/2YaY-1682488656729-%EC%8D%B8%EB%84%A4%EC%9D%BC.jpg,,,,,,,
"동백꽃, 제주",기타주류,14,유통기한 없음,상온 보관 가능,"육포, 순대, 멜론 프로슈토",4,0,2,0,2,0,0,12000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/v2uF-1672974858463-1.jpg,,,,,,,
고소리술,증류식소주,29,유통기한 없음,상온 보관 가능,"수육, 문어 숙회, 두부김치",0,4,4,0,0,0,0,,,,,,,,,
오메기술,살균약주,13,제조일로부터 2년,상온 보관 가능,"치즈, 흑돼지 삼겹살, 생선회",3,0,3,2,2,0,0,12000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/Uyif-1648193038498-thumb_omg.png,,,,,,,
니모메,살균약주,11,제조일로부터 2년,상온 보관 가능,"동파육, 보쌈, 초밥",4,0,2,4,2,0,0,11000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/OOKM-1640845223998-nmm0.jpg,,,,,,,
고소리술,증류식소주,29,유통기한 없음,상온 보관 가능,"수육, 문어 숙회, 두부김치",0,4,4,0,0,0,0,24000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/GLTI-1640844828100-%EA%B3%A0%EC%86%8C%EB%A6%AC%EC%88%A0%2029%20%281%29.jpg,,,,,,,
홍시와인,과실주,10.5,유통기한 없음,상온 보관 가능,"까르보나라, 카프레제, 바스크 치즈 케이크",3,0,4,0,4,0,2,22000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/rRlM-1653635091791-1.jpg,,,,,,,
우도땅콩전통주,기타주류,6,제조일로부터 1년,상온 보관 가능,"아귀찜, 성게보말국, 해물찜",3,0,3,1,3,0,0,,,,,,,,,
세종 알밤주,기타주류,6,제조일로부터 1년,상온 보관 가능,"소 불고기, 군만두, 중국식 냉채",4,0,3,1,2,0,0,3000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/zNh6-1658109835900-0.jpg,,,,,,,
우도 땅콩 전통주,기타주류,6,제조일로부터 1년,상온 보관 가능,"아귀찜, 성게보말국, 해물찜",3,0,3,1,3,0,0,4000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/FL2D-1658109893504-0.jpg,,,,,,,
바나나 주,과실주,7,유통기한 없음,냉장 보관,"월남쌈, 훈제오리 냉채, 분짜",3,0,2,0,3,0,0,,,,,,,,,
아이엠더문,리큐르,17,유통기한 없음,상온 보관 가능,"카나페, 연어샐러드, 치즈 케이크",5,2,4,0,0,0,0,28000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/3j8w-1628842691559-%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%8B%E1%85%A6%E1%86%B7%E1%84%83%E1%85%A5%E1%84%86%E1%85%AE%E1%86%AB%20375ml%20%2B%20%E1%84%87%E1%85%A1%E1%86%A8%E1%84%89%E1%85%B3-1.jpg,,,,,,,
이도 22,증류식소주,22,유통기한 없음,상온 보관 가능,"시래기장국, 올갱이국, 된장찌개",0,3,3,0,0,0,0,13000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/fO9j-1623070877992-%EC%9D%B4%EB%8F%8422-4.jpg,,,,,,,
천비향 화주,증류식소주,40,유통기한 없음,상온 보관 가능,"굴비, 곱창전골, 홍어 삼합",0,3,2,0,0,0,0,64000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/XpFS-1662101466971-0.jpg,,,,,,,
담은,약주,14,제조일로부터 90일,냉장 보관,"방어회, 감자전, 탕수육",3,0,3,3,4,0,0,,,,,,,,,
두레앙22,일반증류주,22,유통기한 없음,상온 보관 가능,"바지락 술찜, 순대, 불고기 샐러드",0,1,2,0,0,0,0,6000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/q4eY-1634536616141-%EB%91%90%EB%A0%88%EC%95%99%2022.jpg,,,,,,,
두레앙 일반증류주,일반증류주,35,유통기한 없음,상온 보관 가능,"육포, 샤브샤브, 안심 스테이크",0,4,4,0,0,0,0,30000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/ZgC7-1648430812332-%EB%91%90%EB%A0%88%EC%95%99_%EC%88%A0%EB%8B%B4%ED%99%94%EB%9D%BC%EB%B2%A8.jpg,,,,,,,
미담,탁주,10,제조일로부터 60일,냉장 보관,"밀푀유나베, 차돌박이 숙주 볶음, 팟타이",2,0,3,2,2,0,0,,,,,,,,,
혼디주,과실주,12,유통기한 없음,직사광선을 피해 서늘한 곳에 보관,"과일 샐러드, 밀푀유나베, 생선회",3,0,3,0,4,0,0,8000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/AsB2-1687502925561-thumbnail.jpg,,,,,,,
한청,청주,15,유통기한 없음,상온 보관 가능,"비빔면, 유부초밥, 동치미막국수",3,0,3,2,3,0,0,20000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/Q48h-1672195146726-1050+%285%29.jpg,,,,,,,
고리진,일반증류주,47,유통기한 없음,상온 보관 가능,"조개찜, 견과류, 크래커",0,4,4,0,0,0,0,75000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/T3qR-1681089884102-gorijin.jpg,,,,,,,
애피소드 상그리아,과실주,3.5,유통기한 없음,냉장 보관,"과일치즈, 크래커, 쉬폰 케이크",3,0,3,0,3,2,2,3700,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/QhF4-1625726313713-%EC%95%A0%ED%94%BC%EC%86%8C%EB%93%9C%EB%A0%88%EB%93%9C-4.png,,,,,,,
애피소드 애플,과실주,3.5,유통기한 없음,상온 보관 가능,"과일, 크래커, 햄버거",3,0,2,0,3,2,1,3700,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/Bsof-1631179069800-ep+a0.jpg,,,,,,,
한스오차드 사과와인,과실주,11,유통기한 없음,상온 보관 가능,"제육 볶음, 연어초밥, 리코타치즈",4,0,3,0,3,0,1,22400,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/fe1w-1631180181351-hsocd+ap0.jpg,,,,,,,
청명주,약주,13.8,제조일로부터 1년,냉장 보관,"새우 오일 파스타, 나물 무침, 비스킷",3,0,4,2,3,0,0,28000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/64XF-1689919043112-thumbnail.jpg,,,,,,,
편백숲 산소막걸리 스파클링,탁주,6.8,제조일로부터 30일,냉장 보관,"삼겹살, 양고기, 홍어 무침",4,0,3,2,4,5,0,,,,,,,,,
