tra_drink_name,tra_drink_sweet,tra_drink_sour,tra_drink_body,tra_drink_alc
한주,0,0,3,35
해남진양주,3,4,3,16
세인트하우스 모과와인,4,4,2,12
해창 막걸리 9도,2,3,3,9
경복궁 소주 40,0,0,4,40
민주 허브 막걸리,3,3,3,14
민주 포도 막걸리,2,2,2,12
매실원주,3,0,3,13
당진소주,0,0,2,25
표문 막걸리,3,3,3,6
홍삼명주,2,4,2,14
단감명작,2,2,2,7
