survey_gender,survey_age,survey_taste_type,survey_taste_sweet,survey_taste_sour,survey_taste_body,survey_taste_soda,survey_alcohole,survey_price,survey_drink_answer
1,30,3,4,0,3,0,20,12000,꿀샘 16
1,25,3,3,1,3,0,20,12000,술샘16
0,25,1,4,1,5,0,20,46000,맑은 문희주
0,35,1,4,3,5,0,30,30000,경성과하주
0,30,1,4,2,2,0,10,11000,니모메
0,25,3,0,0,0,0,40,64000,화주
0,20,3,2,0,3,0,40,13000,이강주 25%
0,30,3,3,0,3,0,30,13000,이강주 25%
1,40,3,3,1,3,0,30,13000,이강주 25%
0,25,3,0,0,3,0,20,9800,모리
1,20,2,3,3,3,0,10,20000,고도리 화이트와인 스위트
0,30,3,1,0,4,0,40,22000,담솔
0,30,0,4,2,3,0,5,3000,세종 알밤주
1,30,1,4,1,3,0,20,21000,술아 순곡주
0,20,3,3,1,3,0,30,13000,이강주 25%
0,20,0,4,2,0,1,10,6000,우주멜론미 스파클링 막걸리
1,20,1,1,2,4,0,30,33000,세종대왕어주 약주
0,30,0,3,3,4,0,5,12000,벗이랑 강황
0,30,0,3,2,4,0,5,7000,감천막걸리
0,25,3,2,1,4,0,40,22000,담솔
1,25,2,3,1,2,0,10,35000,허니문
0,20,0,2,2,3,0,10,12000,해창 막걸리 9도
0,25,0,4,3,3,0,10,16000,만강에 비친 달
0,25,1,0,0,0,0,5,15000,서설
0,20,3,1,1,1,0,30,7900,서울의 밤 25%
0,25,1,4,3,4,0,30,30000,경성과하주
0,25,3,2,2,5,0,40,22000,담솔
0,30,1,5,5,5,0,40,30000,경성과하주
0,30,1,2,1,5,0,30,33000,세종대왕어주 약주
0,25,0,4,0,0,1,30,6000,우주멜론미 스파클링 막걸리
1,25,3,3,0,3,0,10,6200,매실원주
0,25,0,4,1,1,1,5,6000,우주멜론미 스파클링 막걸리
0,20,1,4,2,4,0,20,11000,한산소곡주
1,20,0,4,1,2,0,5,3250,자연담은 복분자막걸리
0,20,0,2,4,4,0,10,8000,볼빨간막걸리 10
1,25,0,4,0,2,1,5,6000,우주멜론미 스파클링 막걸리
0,30,1,2,2,3,0,20,3600,김포특주
0,20,0,3,2,3,0,5,30000,금풍양조
0,20,2,4,2,3,0,10,16000,복숭아와인
1,25,0,4,0,1,1,10,6000,우주멜론미 스파클링 막걸리
0,25,0,3,2,3,0,5,30000,금풍양조
0,30,0,4,3,5,0,20,16000,지란지교
1,30,1,5,2,2,0,10,11000,니모메
1,30,0,3,2,4,0,10,9000,술취한 원숭이
1,30,3,5,0,5,0,10,28000,아이엠더문
0,20,3,5,0,3,0,10,25000,원매
0,30,1,4,1,2,0,10,11000,니모메
0,25,1,3,1,2,0,20,10000,우포
1,30,0,4,2,3,0,5,3000,세종 알밤주
0,20,1,5,3,3,0,40,30000,경성과하주
0,25,3,2,0,5,0,30,22000,담솔
0,20,1,4,1,3,0,30,21000,술아 순곡주
1,20,0,5,1,3,0,10,4000,동래아들
0,25,0,4,1,2,0,5,3250,자연담은 복분자막걸리
0,25,3,3,1,3,0,20,12000,술샘16
0,25,0,3,1,4,0,5,7000,감천막걸리
1,40,3,1,0,3,0,10,9800,모리
1,25,0,3,1,4,0,5,7000,감천막걸리
